Extracted Context,Source Type,Canonical Entity,Canonical ID,Canonical Attribute,Normalized Value,Salesforce Mapping,Marketo Mapping,HubSpot Mapping,Outreach Mapping,LinkedIn Mapping,Mapping Confidence,Review Status,Notes
Chief Risk Officer,Strategy Deck,Persona,persona_cro,persona_group,Risk Executive,Contact.Persona__c = Risk Executive,{{my.persona}} = Risk Executive,persona = risk_executive,persona_tag = CRO_Risk,job_functions = Risk Management; seniorities = CXO,High,Approved,Primary entry/champion persona
Chief Compliance Officer,Strategy Deck,Persona,persona_cco,persona_group,Compliance Executive,Contact.Persona__c = Compliance Executive,{{my.persona}} = Compliance Executive,persona = compliance_executive,persona_tag = CCO_Compliance,job_functions = Legal; seniorities = CXO,High,Approved,Primary entry/champion persona
CIO,Strategy Deck,Persona,persona_cio,persona_group,Technology Executive,Contact.Persona__c = Technology Executive,{{my.persona}} = Technology Executive,persona = technology_executive,persona_tag = CIO_Tech,job_functions = Information Technology; seniorities = CXO,High,Approved,Economic buyer in many deals
EU AI Act,Strategy Deck,Regulatory Driver,regulatory_eu_ai_act,regulatory_driver,EU AI Act,Campaign.GTM_Motion__c = Regulatory Urgency; Campaign.Region__c = EMEA,{{my.regulatory_driver}} = EU AI Act,workflow branch: region=emea,sequence_name contains EMEA-Regulatory,campaign_theme = Regulatory Urgency; locations = Germany; France; United Kingdom,High,Approved,Use for UK/EU campaign variants
OCC Model Risk Guidance,Strategy Deck,Regulatory Driver,regulatory_occ,regulatory_driver,OCC,Campaign.GTM_Motion__c = Regulatory Urgency; Campaign.Region__c = NA,{{my.regulatory_driver}} = OCC,workflow branch: region=na,sequence_name contains NA-Regulatory,campaign_theme = Regulatory Urgency; locations = United States,High,Approved,US banking urgency driver
AI Agent Governance Readiness Assessment,Strategy Deck,Offer,offer_readiness_assessment,offer,Readiness Assessment,Campaign.Offer__c = Readiness Assessment,{{my.offer_name}} = AI Agent Governance Readiness Assessment,workflow CTA = Book Assessment,offer = Readiness Assessment,objective = Lead Generation,High,Approved,Primary conversion offer
30-Day Pilot Program,Strategy Deck,Offer,offer_pilot,offer,Pilot Program,Campaign.Offer__c = Pilot Program,{{my.offer_name}} = 30-Day Pilot Program,workflow CTA = Start Pilot,offer = Pilot,objective = Lead Generation,High,Approved,Used for open opportunities
North America,Strategy Deck,Region,region_na,region,NA,Campaign.Region__c = NA; Account.Region__c = NA,{{my.region}} = NA,region = na,territory = NA,locations = United States; Canada,High,Approved,Customer taxonomy uses NA
Western Europe,Strategy Deck,Region,region_emea,region,EMEA,Campaign.Region__c = EMEA; Account.Region__c = EMEA,{{my.region}} = EMEA,region = emea,territory = EMEA,locations = Germany; France; United Kingdom,Medium,Needs Review,Customer taxonomy collapses UK + Western Europe into EMEA
Financial Services,Strategy Deck,Industry,industry_finserv,industry,Financial Services,Account.Industry = Financial Services,Smart List Industry Filter = Financial Services,industry = financial_services,account_tier used for priority,industries = Financial Services,High,Approved,Parent industry for banking/insurance/wealth/fintech
Banking,Strategy Deck,Industry,industry_banking,industry,Banking,Account.Industry = Banking,Smart List Industry Filter = Banking,industry = banking,account_tier used for priority,industries = Banking,High,Approved,Core ICP
Regulatory Urgency,Strategy Deck,Campaign Motion,motion_regulatory,campaign_motion,Regulatory Urgency,Campaign.GTM_Motion__c = Regulatory Urgency,Program Name contains Regulatory; {{my.regulatory_driver}} populated,workflow branch = regulatory,sequence_name contains Regulatory,campaign_theme = Regulatory Urgency,High,Approved,Primary acquisition motion
